electrolyte,cation,anion,concentration,electrode_type,state,cathode_product,anode_product,cathode_half_eq,anode_half_eq
AgNO₃,Ag⁺,NO₃⁻,high,inert,aqueous,Ag,O₂,"('Ag⁺ + e⁻ → Ag', 'Ag → Ag⁺ + e⁻')","('4OH⁻ → O₂ + 2H₂O + 4e⁻', 'O₂ + 2H₂O + 4e⁻ → 4OH⁻')"
AgNO₃,Ag⁺,NO₃⁻,high,inert,molten,Ag,NO₃2,"('Ag⁺ + e⁻ → Ag', 'Ag → Ag⁺ + e⁻')",
AgNO₃,Ag⁺,NO₃⁻,high,reactive,aqueous,Ag,O₂,"('Ag⁺ + e⁻ → Ag', 'Ag → Ag⁺ + e⁻')","('4OH⁻ → O₂ + 2H₂O + 4e⁻', 'O₂ + 2H₂O + 4e⁻ → 4OH⁻')"
AgNO₃,Ag⁺,NO₃⁻,high,reactive,molten,Ag,NO₃2,"('Ag⁺ + e⁻ → Ag', 'Ag → Ag⁺ + e⁻')",
KBr,K⁺,Br⁻,low,inert,aqueous,H₂,O₂,"('2H⁺ + 2e⁻ → H₂', 'H₂ → 2H⁺ + 2e⁻')","('4OH⁻ → O₂ + 2H₂O + 4e⁻', 'O₂ + 2H₂O + 4e⁻ → 4OH⁻')"
KBr,K⁺,Br⁻,low,inert,molten,K,Br2,,
KBr,K⁺,Br⁻,low,reactive,aqueous,H₂,O₂,"('2H⁺ + 2e⁻ → H₂', 'H₂ → 2H⁺ + 2e⁻')","('4OH⁻ → O₂ + 2H₂O + 4e⁻', 'O₂ + 2H₂O + 4e⁻ → 4OH⁻')"
KBr,K⁺,Br⁻,low,reactive,molten,K,Br2,,
KBr,K⁺,Br⁻,high,inert,aqueous,H₂,Br2,"('2H⁺ + 2e⁻ → H₂', 'H₂ → 2H⁺ + 2e⁻')",
KBr,K⁺,Br⁻,high,inert,molten,K,Br2,,
KBr,K⁺,Br⁻,high,reactive,aqueous,H₂,Br2,"('2H⁺ + 2e⁻ → H₂', 'H₂ → 2H⁺ + 2e⁻')",
KBr,K⁺,Br⁻,high,reactive,molten,K,Br2,,
KI,K⁺,I⁻,low,inert,aqueous,H₂,O₂,"('2H⁺ + 2e⁻ → H₂', 'H₂ → 2H⁺ + 2e⁻')","('4OH⁻ → O₂ + 2H₂O + 4e⁻', 'O₂ + 2H₂O + 4e⁻ → 4OH⁻')"
KI,K⁺,I⁻,low,inert,molten,K,I2,,
KI,K⁺,I⁻,low,reactive,aqueous,H₂,O₂,"('2H⁺ + 2e⁻ → H₂', 'H₂ → 2H⁺ + 2e⁻')","('4OH⁻ → O₂ + 2H₂O + 4e⁻', 'O₂ + 2H₂O + 4e⁻ → 4OH⁻')"
KI,K⁺,I⁻,low,reactive,molten,K,I2,,
KI,K⁺,I⁻,high,inert,aqueous,H₂,I2,"('2H⁺ + 2e⁻ → H₂', 'H₂ → 2H⁺ + 2e⁻')",
KI,K⁺,I⁻,high,inert,molten,K,I2,,
KI,K⁺,I⁻,high,reactive,aqueous,H₂,I2,"('2H⁺ + 2e⁻ → H₂', 'H₂ → 2H⁺ + 2e⁻')",
KI,K⁺,I⁻,high,reactive,molten,K,I2,,
NaOH,Na⁺,OH⁻,low,inert,aqueous,H₂,O₂,"('2H⁺ + 2e⁻ → H₂', 'H₂ → 2H⁺ + 2e⁻')","('4OH⁻ → O₂ + 2H₂O + 4e⁻', 'O₂ + 2H₂O + 4e⁻ → 4OH⁻')"
NaOH,Na⁺,OH⁻,low,inert,molten,Na,OH2,"('Na⁺ + e⁻ → Na', 'Na → Na⁺ + e⁻')",
NaOH,Na⁺,OH⁻,low,reactive,aqueous,H₂,O₂,"('2H⁺ + 2e⁻ → H₂', 'H₂ → 2H⁺ + 2e⁻')","('4OH⁻ → O₂ + 2H₂O + 4e⁻', 'O₂ + 2H₂O + 4e⁻ → 4OH⁻')"
NaOH,Na⁺,OH⁻,low,reactive,molten,Na,OH2,"('Na⁺ + e⁻ → Na', 'Na → Na⁺ + e⁻')",
NaOH,Na⁺,OH⁻,high,inert,aqueous,H₂,O₂,"('2H⁺ + 2e⁻ → H₂', 'H₂ → 2H⁺ + 2e⁻')","('4OH⁻ → O₂ + 2H₂O + 4e⁻', 'O₂ + 2H₂O + 4e⁻ → 4OH⁻')"
NaOH,Na⁺,OH⁻,high,inert,molten,Na,OH2,"('Na⁺ + e⁻ → Na', 'Na → Na⁺ + e⁻')",
NaOH,Na⁺,OH⁻,high,reactive,aqueous,H₂,O₂,"('2H⁺ + 2e⁻ → H₂', 'H₂ → 2H⁺ + 2e⁻')","('4OH⁻ → O₂ + 2H₂O + 4e⁻', 'O₂ + 2H₂O + 4e⁻ → 4OH⁻')"
NaOH,Na⁺,OH⁻,high,reactive,molten,Na,OH2,"('Na⁺ + e⁻ → Na', 'Na → Na⁺ + e⁻')",
